primary_title,start_year,directors,primary_name,category
"Chinese Coffee",2000,nm0000199,"Al Pacino",actor
Vulgar,2000,nm0424682,"Bryan Johnson",actor
"April Captains",2000,nm0210218,"Maria de Medeiros",actress
Bruno,2000,nm0000511,"Shirley MacLaine",actress
Lightmaker,2001,nm0576666,"Dieter Meier",actor
"All Saints Day",2000,nm0479055,"Thomas J. La Sorsa",actor
"Laughing Boy",2000,nm0003784,"Joe Grisaffi",actor
Love,2001,nm0032741,"Francisco Aragon",actor
"The Shark in Me",2009,nm0879436,"Barnabás Tóth",actor
"Mr. Accident",2000,nm0000635,"Yahoo Serious",actor
"One Last Dance",2003,nm0001568,"Lisa Niemi",actress
Evicted,2000,nm1177925,"Michael Tierney",actor
"The Demo Crew",2001,nm1186560,"John E. Vitali",actor
"Train Ride",2000,nm0235702,"Rel Dowdell",actor
"Hanging Up",2000,nm0000473,"Diane Keaton",actress
"City of Ghosts",2002,nm0000369,"Matt Dillon",actor
"Daddy and Them",2001,nm0000671,"Billy Bob Thornton",actor
Cugini,2001,nm0317570,"John Gigante",actor
"A Better Way to Die",2000,nm0007045,"Scott Wiper",actor
"Antwone Fisher",2002,nm0000243,"Denzel Washington",actor
"Keeping the Faith",2000,nm0001570,"Edward Norton",actor
"The Thundering 8th",2000,nm0097644,"Donald Borza II",actor
"Joe Gould's Secret",2000,nm0001804,"Stanley Tucci",actor
"6,000 Miles from Hollywood",2000,nm0587480,"Billy Milionis",actor
"Fly on the Wall",2005,nm0039009,"Adryenn Ashley",actress
"Once in the Life",2000,nm0000401,"Laurence Fishburne",actor
"South of Heaven, West of Hell",2000,nm0948267,"Dwight Yoakam",actor
"Angels with Angles",2005,nm0485548,"Scott Edmund Lane",actor
"Escanaba in da Moonlight",2001,nm0001099,"Jeff Daniels",actor
"Love's Labour's Lost",2000,nm0000110,"Kenneth Branagh",actor
"A Man Is Mostly Water",2000,nm0663208,"Fred Parnes",actor
Pollock,2000,nm0000438,"Ed Harris",actor
"Looking for Oscar",2000,nm0692567,"Eric Porvaznik",actor
"Space Cowboys",2000,nm0000142,"Clint Eastwood",actor
Riffraff,2005,nm0903319,"John Vondrak",actor
"We Married Margo",2000,nm0788526,"J.D. Shapiro",actor
"Thousands of Miles",2005,nm0495902,"Derek Lebrero",actor
"Small Time Crooks",2000,nm0000095,"Woody Allen",actor
Zoolander,2001,nm0001774,"Ben Stiller",actor
Aitanic,2000,nm0195293,"Nino D'Angelo",actor
"Between the Moon and Montevideo",2001,nm0077820,"Attila Bertalan",actor
"The Cheapest Movie Ever Made",2000,nm0416177,"A.J. Jamal",actor
Childhood,2001,nm0007050,"Sergei Davidoff",actor
"Io amo Andrea",2000,nm0638308,"Francesco Nuti",actor
"Straight Out of Compton",2003,nm1141083,"Ryan Combs",actor
"Airboss III: The Payback",2000,nm0409079,"J. Christian Ingvordsen",actor
